"country","year","winner_count","country_size"
"U.S.A. - United States","2004","10","Large"
"U.S.A. - United States","2009","10","Large"
"U.S.A. - United States","2011","9","Large"
"U.S.A. - United States","2013","9","Large"
"U.S.A. - United States","2000","8","Large"
"U.S.A. - United States","2001","8","Large"
"U.S.A. - United States","2002","8","Large"
"U.S.A. - United States","2012","8","Large"
"U.S.A. - United States","2003","7","Large"
"U.S.A. - United States","2005","6","Large"
"U.S.A. - United States","2006","6","Large"
"U.S.A. - United States","2008","6","Large"
"U.S.A. - United States","2007","5","Large"
"U.S.A. - United States","2015","5","Large"
"G.BR - Great Britain","2010","4","Medium"
"U.S.A. - United States","2010","4","Large"
"U.S.A. - United States","2016","4","Large"
"JPN - Japan","2008","3","Large"
"JPN - Japan","2014","3","Large"
"U.S.A. - United States","2014","3","Large"
"  AUS - Australia","2005","2","Small"
"  NOR - Norway","2014","2","Small"
"fra - france","2007","2","Medium"
"fra - france","2008","2","Medium"
"fra - france","2012","2","Medium"
"G.BR - Great Britain","2001","2","Medium"
"G.BR - Great Britain","2009","2","Medium"
"G.BR - Great Britain","2015","2","Medium"
"ger - Germany","2005","2","Medium"
"ger - Germany","2007","2","Medium"
"ger - Germany","2014","2","Medium"
"ISR - Israel","2004","2","Small"
"JPN - Japan","2002","2","Large"
"JPN - Japan","2015","2","Large"
"    CAN - Canada","2015","1","Small"
"   DEN - Denmark","2010","1","Small"
"  AUS - Australia","2011","1","Small"
"  BEL - Belgium","2013","1","Small"
"  NED - Netherlands","2016","1","Small"
"CHN - China","2009","1","Large"
"CHN - China","2015","1","Large"
"fra - france","2005","1","Medium"
"fra - france","2011","1","Medium"
"fra - france","2013","1","Medium"
"fra - france","2014","1","Medium"
"fra - france","2016","1","Medium"
"G.BR - Great Britain","2002","1","Medium"
"G.BR - Great Britain","2003","1","Medium"
"G.BR - Great Britain","2007","1","Medium"
"G.BR - Great Britain","2012","1","Medium"
"G.BR - Great Britain","2013","1","Medium"
"G.BR - Great Britain","2014","1","Medium"
"ger - Germany","2008","1","Medium"
"ISR - Israel","2005","1","Small"
"ISR - Israel","2009","1","Small"
"ISR - Israel","2011","1","Small"
"JPN - Japan","2000","1","Large"
"JPN - Japan","2001","1","Large"
"JPN - Japan","2010","1","Large"
"JPN - Japan","2012","1","Large"
"JPN - Japan","2016","1","Large"
"RUS - Russia","2000","1","Large"
"RUS - Russia","2003","1","Large"
"SUI - Switzerland","2002","1","Small"
"swe - sweden","2000","1","Small"
